subject,date,sequence,genotype,has_neural,use_holds,use_phasic,use_reset,stim_laterality,use_regenerative,use_regenerative_nostim,fiber_position_um
m2025-02,2025-01-08,0,vgatcre_ntschrmine,True,True,False,True,bilateral,True,True,
m2025-01,2025-01-06,1,vgatcre_ntschrmine,True,False,False,False,bilateral,True,True,
m2025-01,2025-01-06,0,vgatcre_ntschrmine,True,True,True,True,bilateral,True,True,
m2024-61,2024-11-05,0,vgatcre_ntschrmine,False,True,False,True,bilateral,False,False,
m2024-60,2024-11-04,0,vgatcre_ntschrmine,False,True,True,True,unilateral,False,False,
m2024-59,2024-10-04,1,vgatcre_ntschrmine,True,True,True,True,unilateral,True,True,
m2024-53,2024-09-05,0,vgatai32,True,True,True,True,unilateral,False,True,108
m2024-40,2024-08-05,2,vgatcre_ntschrmine,True,False,False,False,unilateral,True,True,
m2024-40,2024-08-05,1,vgatcre_ntschrmine,True,True,True,True,unilateral,True,True,
m2024-38,2024-07-30,0,vgatcre_ntschrmine,True,True,True,True,unilateral,True,True,
m2024-37,2024-07-22,0,vglut2ai32,True,True,True,True,unilateral,True,True,654
m2024-36,2024-07-12,0,vglut2ai32,True,True,True,True,unilateral,False,False,706
m2024-35,2024-07-12,0,vglut2ai32,True,True,True,True,unilateral,True,True,-72
m2024-34,2024-07-09,1,vglut2ai32,True,False,False,False,unilateral,True,True,368
m2024-34,2024-07-09,0,vglut2ai32,True,True,True,True,unilateral,False,True,368
m2024-33,2024-07-08,2,vglut2ai32,True,False,False,False,unilateral,False,True,145
m2024-33,2024-07-08,1,vglut2ai32,True,True,True,True,unilateral,True,True,145
m2024-32,2024-07-04,1,vgatai32,True,False,False,False,unilateral,True,True,512
m2024-32,2024-07-04,0,vgatai32,True,True,True,True,unilateral,True,False,512
m2024-31,2024-07-03,1,vgatai32,True,False,False,False,unilateral,True,True,435
m2024-31,2024-07-03,0,vgatai32,True,True,True,True,unilateral,True,True,435
m2024-30,2024-07-03,0,vgatai32,True,True,True,True,unilateral,True,True,309
m2024-29,2024-07-03,0,vgatai32,True,True,True,True,unilateral,False,False,165
m2024-28,2024-07-01,0,vgatai32,True,True,True,True,unilateral,False,True,457

